File created based on airfoil data from the DTU10MWReferenceWindTurbine.xls document, using 3D corrected values
Values are linearly interpolated by by Zhengshun Cheng
     1  	Number of airfoil tables in this file
     0.0  	Table ID parameter
     34.0000 	Stall angle (deg)
     0.0000 	No longer used, enter zero
     0.0000 	No longer used, enter zero
     0.0000 	No longer used, enter zero
     -2.8579 	Zero Cn angle of attack (deg)
     9.0473 	Cn slope for zero lift (dimensionless)
     1.8823 	Cn extrapolated to value at positive stall angle of attack
     -0.9592 	Cn at stall value for negative angle of attack
     0.0000 	Angle of attack for minimum CD (deg)
     0.0169 	Minimum CD value
-180.0000   0.0000   0.0000   0.0000   
-175.0000   0.1736   0.0099   0.0218   
-170.0000   0.3420   0.0392   0.0434   
-165.0000   0.5000   0.0871   0.0647   
-160.0000   0.6428   0.1521   0.0855   
-155.0000   0.7660   0.2322   0.1057   
-150.0000   0.8660   0.3250   0.1250   
-145.0000   0.9397   0.4277   0.1434   
-140.0000   0.9848   0.5371   0.1607   
-135.0000   1.0000   0.6500   0.1768   
-130.0000   0.9848   0.7629   0.1915   
-125.0000   0.9397   0.8723   0.2048   
-120.0000   0.8660   0.9750   0.2165   
-115.0000   0.7660   1.0678   0.2266   
-110.0000   0.6428   1.1479   0.2349   
-105.0000   0.5000   1.2129   0.2415   
-100.0000   0.3420   1.2608   0.2462   
-95.0000   0.1736   1.2901   0.2490   
-90.0000   0.0000   1.3000   0.2500   
-85.0000   -0.1736   1.2901   0.2490   
-80.0000   -0.3420   1.2608   0.2462   
-75.0000   -0.5000   1.2129   0.2415   
-70.0000   -0.6428   1.1479   0.2349   
-65.0000   -0.7660   1.0678   0.2266   
-60.0000   -0.8660   0.9750   0.2165   
-55.0000   -0.9397   0.8723   0.2048   
-50.0000   -0.9848   0.7629   0.1915   
-45.0000   -1.0000   0.6500   0.1768   
-40.0000   -0.9850   0.5352   0.1416   
-39.0000   -0.9800   0.5117   0.1346   
-38.0000   -0.9649   0.4851   0.1276   
-37.0000   -0.9526   0.4616   0.1205   
-36.0000   -0.9376   0.4330   0.1135   
-35.0000   -0.9226   0.4045   0.0965   
-34.0000   -0.9149   0.3759   0.0794   
-33.0000   -0.8998   0.3477   0.0624   
-32.0000   -0.8904   0.3257   0.0465   
-30.0000   -0.8733   0.2746   0.0344   
-28.0000   -0.8588   0.2309   0.0223   
-26.0000   -0.8330   0.2017   0.0116   
-24.0000   -0.8172   0.1725   0.0009   
-22.0000   -0.7871   0.1487   -0.0076   
-20.0000   -0.7570   0.1249   -0.0160   
-18.0000   -0.7155   0.1058   -0.0215   
-16.0000   -0.6741   0.0868   -0.0269   
-14.0000   -0.6274   0.0720   -0.0283   
-12.0000   -0.5806   0.0572   -0.0295   
-10.0000   -0.5391   0.0457   -0.0265   
-8.0000   -0.4976   0.0342   -0.0235   
-6.0000   -0.3391   0.0270   -0.0367   
-4.0000   -0.1806   0.0198   -0.0499   
-2.0000   0.1356   0.0183   -0.0765   
0.0000   0.4518   0.0169   -0.1030   
2.0000   0.7553   0.0170   -0.1229   
4.0000   1.0403   0.0177   -0.1380   
6.0000   1.3018   0.0192   -0.1480   
8.0000   1.5349   0.0216   -0.1531   
10.0000   1.7234   0.0252   -0.1522   
12.0000   1.8000   0.0327   -0.1435   
14.0000   1.7936   0.0638   -0.1396   
16.0000   1.7614   0.0997   -0.1466   
18.0000   1.7364   0.1406   -0.1587   
20.0000   1.7345   0.1895   -0.1730   
22.0000   1.7585   0.2849   -0.1917   
24.0000   1.7915   0.3884   -0.2142   
26.0000   1.8121   0.4832   -0.2366   
28.0000   1.8118   0.5682   -0.2574   
30.0000   1.7962   0.6457   -0.2760   
32.0000   1.7708   0.7151   -0.2923   
33.0000   1.7655   0.7488   -0.2952   
34.0000   1.7567   0.7785   -0.2919   
35.0000   1.7423   0.8031   -0.2886   
36.0000   1.7161   0.8273   -0.2853   
37.0000   1.7024   0.8524   -0.2811   
38.0000   1.6699   0.8717   -0.2755   
39.0000   1.6343   0.8914   -0.2737   
40.0000   1.5959   0.9067   -0.2701   
45.0000   1.4065   0.9977   -0.2563   
50.0000   1.1329   1.0434   -0.2493   
55.0000   0.9808   1.0616   -0.2419   
60.0000   0.8660   1.0826   -0.2357   
65.0000   0.7660   1.1157   -0.2358   
70.0000   0.6428   1.1589   -0.2378   
75.0000   0.5000   1.2129   -0.2415   
80.0000   0.3420   1.2608   -0.2462   
85.0000   0.1736   1.2901   -0.2490   
90.0000   0.0000   1.3000   -0.2500   
95.0000   -0.1736   1.2901   -0.2490   
100.0000   -0.3420   1.2608   -0.2462   
105.0000   -0.5000   1.2129   -0.2415   
110.0000   -0.6428   1.1479   -0.2349   
115.0000   -0.7660   1.0678   -0.2266   
120.0000   -0.8660   0.9750   -0.2165   
125.0000   -0.9397   0.8723   -0.2048   
130.0000   -0.9848   0.7629   -0.1915   
135.0000   -1.0000   0.6500   -0.1768   
140.0000   -0.9848   0.5371   -0.1607   
145.0000   -0.9397   0.4277   -0.1434   
150.0000   -0.8660   0.3250   -0.1250   
155.0000   -0.7660   0.2322   -0.1057   
160.0000   -0.6428   0.1521   -0.0855   
165.0000   -0.5000   0.0871   -0.0647   
170.0000   -0.3420   0.0392   -0.0434   
175.0000   -0.1736   0.0099   -0.0218   
180.0000   0.0000   0.0000   0.0000   
